owner_id,name,screen_name,members_count,is_gov,posts,likes_declared,comments_declared,views,likes_total,likes_from_subs,unique_likers,unique_sub_likers,comments_total,comments_from_subs,unique_commenters,size_bucket,segment,avg_likes_per_post,share_likes_from_subs,sub_like_reach
-198299671,Народный Совет жителей г.Новочебоксарск,club198299671,75,0,3.0,3.0,0.0,18.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,<100,Обычные,1.0,1.0,0.013333333333333334
-208256805,Барахолка Новочебоксарск,club208256805,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-207150840,VR/AR-квантум г. Новочебоксарск,club207150840,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-132203879,КОНКУРСЫ В НОВОЧЕБОКСАРСКЕ И В ЧЕБОКСАРАХ,club132203879,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-159873780,Поверка счетчиков Воды. Новочебоксарск,novocheboksarsk.poverkapro,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-216970305,Торты Капкейки Новочебоксарск,club216970305,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-38918773,Реклама на щитах г. Новочебоксарск.,club38918773,34,0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,0.0,,0.0
-230085819,"Наращивание волос Чебоксары,Новочебоксарск",clubray24,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-74872676,совместные покупки чебоксары - новочебоксарск,club74872676,23,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,0.0,,0.0
-211305481,Косметология Новочебоксарск,club211305481,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-127227010,Аренда беседки с мангалом Новочебоксарск,club127227010,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-66702140,гимнастический зал в новочебоксарске,club66702140,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-44820092,"ХК 'Сокол-ЮХЛ'"" |Новочебоксарск|""",hockeyteamsokol,157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-73056640,Маникюр Новочебоксарск,club73056640,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-109819709,Armelle Чебоксары Новочебоксарск | Духи Армель,armelle_cheboksari,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-119813874,Шугаринг (новочебоксарск),shugaring21nchk,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-182416135,Сантехника Новочебоксарск,santehnika_turist,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-115603507,Комиссионка НОВОЧЕБОКСАРСК,club115603507,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-137003361,Маникюр Новочебоксарск,club137003361,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-126616259,Mirra Новочебоксарск,club126616259,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-42854449,"Конюшня парка 'Ельниковская роща'""Новочебоксарск""",newponyclub,174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100–1K,Обычные,,,0.0
-104494400,квартира на сутки   Новочебоксарск,club104494400,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<100,Обычные,,,0.0
-230760855,МОЙ САМ | Автомойка 24/7 | Новочебоксарск,moysam_auto,43,0,3.0,2.0,0.0,174.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,<100,Обычные,0.6666666666666666,1.0,0.046511627906976744
